Equipment_ID,Type,Model,Manufacture_Year,Customer_ID,CheckOut_Date,Planned_Return_Date,CheckIn_Date,Rental_Status,Operating_Hours,Idle_Hours,Fuel_Consumed_Liters,Fuel_Efficiency_L_per_hr,Distance_Traveled_km,Load_Cycles,GPS_Location,Maintenance_Flag,Breakdowns,Engine_Temp_Max,Hydraulic_Pressure_Max,Rental_Cost_USD,Overdue_Fine_USD,Total_Bill_USD
EQ0011,Excavator,336D2,2021,CUST138,2025-03-12,2025-03-23,2025-03-24,Overdue,82,26,1062.56,12.96,0,0,Site_A,Yes,0,95,327,5687,100,5787
EQ0012,DumpTruck,775G,2023,CUST235,2025-01-05,2025-01-17,2025-01-17,Closed,68,29,790.64,11.63,199,112,Site_B,No,0,89,331,6480,0,6480
EQ0013,Loader,980M,2020,CUST383,2025-04-14,2025-04-22,2025-04-24,Overdue,45,15,581.69,12.93,192,95,Site_E,No,0,97,346,3248,200,3448
EQ0014,Bulldozer,D8T,2021,CUST047,2025-04-13,2025-04-26,2025-04-26,Closed,87,25,1019.27,11.72,0,0,Site_A,Yes,0,89,320,7176,0,7176
EQ0015,DumpTruck,777G,2018,CUST198,2025-04-13,2025-04-16,2025-04-16,Closed,30,6,359.96,12.0,96,75,Site_D,No,0,93,370,1710,0,1710
EQ0016,Excavator,323D3,2023,CUST059,2025-02-01,2025-02-10,2025-02-10,Closed,68,23,900.52,13.24,0,0,Site_F,No,1,95,314,3825,0,3825
EQ0017,DumpTruck,773G,2021,CUST002,2025-02-13,2025-02-19,2025-02-21,Overdue,55,12,731.07,13.29,162,67,Site_F,No,0,90,364,3498,200,3698
EQ0018,Excavator,323D3,2020,CUST431,2025-03-03,2025-03-14,2025-03-15,Overdue,50,23,597.21,11.94,0,0,Site_F,Yes,0,89,347,5995,100,6095
EQ0019,Bulldozer,D8T,2022,CUST471,2025-02-13,2025-02-23,2025-02-22,Closed,72,9,929.23,12.91,0,0,Site_A,No,0,100,302,3780,0,3780
EQ0020,Crane,330C,2019,CUST030,2025-04-23,2025-05-05,2025-05-03,Closed,83,15,1004.45,12.1,0,0,Site_B,Yes,0,87,362,6696,0,6696
EQ0021,Excavator,323D3,2019,CUST066,2025-03-22,2025-04-04,2025-04-04,Closed,84,26,1012.81,12.06,0,0,Site_F,No,1,90,333,6305,0,6305
EQ0022,Loader,966GC,2019,CUST476,2025-01-19,2025-01-23,2025-01-23,Closed,47,0,596.21,12.69,105,81,Site_E,Yes,0,94,351,2084,0,2084
EQ0023,Crane,330C,2022,CUST232,2025-02-07,2025-02-17,2025-02-17,Closed,69,21,906.17,13.13,0,0,Site_A,Yes,0,92,308,4360,0,4360
EQ0024,Excavator,323D3,2022,CUST118,2025-03-14,2025-03-28,2025-03-28,Closed,105,30,1275.95,12.15,0,0,Site_E,Yes,0,85,309,7434,0,7434
EQ0025,Excavator,320D2,2018,CUST464,2025-03-31,2025-04-05,2025-04-06,Overdue,27,8,361.29,13.38,0,0,Site_A,No,0,87,365,2050,100,2150
EQ0026,Crane,350C,2021,CUST110,2025-02-08,2025-02-12,2025-02-13,Overdue,39,12,464.81,11.92,0,0,Site_E,Yes,0,100,331,2200,100,2300
EQ0027,DumpTruck,775G,2019,CUST049,2025-02-11,2025-02-16,2025-02-16,Closed,17,10,229.37,13.49,83,35,Site_A,No,1,96,354,2275,0,2275
EQ0028,DumpTruck,777G,2018,CUST345,2025-04-29,2025-05-10,2025-05-10,Closed,85,24,1123.08,13.21,273,235,Site_F,Yes,1,86,351,5896,0,5896
EQ0029,Crane,320C,2019,CUST099,2025-04-23,2025-05-03,2025-05-04,Overdue,78,28,955.08,12.24,0,0,Site_B,No,1,89,354,3960,100,4060
EQ0030,Crane,330C,2019,CUST448,2025-01-25,2025-01-29,2025-01-29,Closed,46,10,588.98,12.8,0,0,Site_A,No,0,88,306,2064,0,2064
EQ0031,Loader,950GC,2018,CUST475,2025-02-02,2025-02-08,2025-02-08,Closed,53,7,678.36,12.8,241,122,Site_B,Yes,0,98,362,2838,0,2838
EQ0032,Bulldozer,D7R2,2018,CUST085,2025-03-17,2025-03-30,2025-03-30,Closed,82,21,1102.57,13.45,0,0,Site_D,Yes,0,97,333,7631,0,7631
EQ0033,DumpTruck,775G,2021,CUST357,2025-02-23,2025-03-05,2025-03-05,Closed,70,27,885.77,12.65,243,97,Site_F,No,0,89,324,4250,0,4250
EQ0034,Bulldozer,D6R2,2022,CUST377,2025-01-19,2025-01-25,2025-01-25,Closed,31,14,414.81,13.38,0,0,Site_E,Yes,2,95,307,2172,0,2172
EQ0035,Loader,966GC,2022,CUST471,2025-04-27,2025-05-05,2025-05-05,Closed,60,15,805.63,13.43,273,95,Site_E,Yes,0,86,365,2960,0,2960
EQ0036,Bulldozer,D6R2,2022,CUST035,2025-03-28,2025-03-31,2025-03-31,Closed,23,0,307.56,13.37,0,0,Site_F,Yes,0,97,315,1773,0,1773
EQ0037,Loader,950GC,2022,CUST305,2025-04-14,2025-04-24,2025-04-24,Closed,58,26,696.48,12.01,167,95,Site_A,Yes,1,98,366,4300,0,4300
EQ0038,Crane,320C,2023,CUST367,2025-01-09,2025-01-22,2025-01-22,Closed,72,28,888.45,12.34,0,0,Site_C,Yes,0,93,350,4979,0,4979
EQ0039,Crane,330C,2020,CUST476,2025-01-24,2025-02-07,2025-02-07,Closed,112,28,1433.59,12.8,0,0,Site_A,Yes,0,99,312,5152,0,5152
EQ0040,Loader,950GC,2022,CUST136,2025-01-16,2025-01-30,2025-02-01,Overdue,98,25,1212.94,12.38,393,162,Site_B,No,0,87,331,6216,200,6416
EQ0041,Crane,320C,2021,CUST427,2025-03-03,2025-03-11,2025-03-11,Closed,51,21,599.46,11.75,0,0,Site_E,No,0,85,370,3408,0,3408
EQ0042,Excavator,320D2,2020,CUST060,2025-02-22,2025-03-08,2025-03-08,Closed,90,29,1044.3,11.6,0,0,Site_A,Yes,0,93,336,7056,0,7056
EQ0043,Bulldozer,D8T,2020,CUST105,2025-02-16,2025-02-21,2025-02-21,Closed,14,10,183.27,13.09,0,0,Site_F,No,0,100,332,2905,0,2905
EQ0044,Excavator,320D2,2023,CUST217,2025-04-02,2025-04-14,2025-04-14,Closed,89,28,1096.29,12.32,0,0,Site_C,Yes,0,85,342,6564,0,6564
EQ0045,Bulldozer,D8T,2020,CUST083,2025-01-01,2025-01-05,2025-01-05,Closed,29,10,363.47,12.53,0,0,Site_F,No,0,98,301,1512,0,1512
EQ0046,Excavator,323D3,2019,CUST280,2025-03-10,2025-03-18,2025-03-18,Closed,56,13,661.77,11.82,0,0,Site_A,No,0,89,355,3056,0,3056
EQ0047,Excavator,336D2,2020,CUST461,2025-01-29,2025-02-12,2025-02-12,Closed,95,37,1111.09,11.7,0,0,Site_A,No,0,91,331,7280,0,7280
EQ0048,Excavator,336D2,2022,CUST453,2025-02-08,2025-02-14,2025-02-14,Closed,22,5,280.1,12.73,0,0,Site_D,Yes,0,92,320,3594,0,3594
EQ0049,Bulldozer,D7R2,2018,CUST092,2025-02-03,2025-02-09,2025-02-09,Closed,42,23,554.95,13.21,0,0,Site_F,No,0,98,331,2508,0,2508
EQ0050,Bulldozer,D8T,2018,CUST196,2025-01-04,2025-01-14,2025-01-13,Closed,81,22,1041.2,12.85,0,0,Site_A,No,0,92,325,5590,0,5590
EQ0051,DumpTruck,775G,2020,CUST421,2025-02-02,2025-02-05,2025-02-06,Overdue,25,11,328.52,13.14,98,35,Site_B,Yes,0,85,324,1356,100,1456
EQ0052,Crane,330C,2018,CUST496,2025-01-12,2025-01-16,2025-01-16,Closed,12,13,153.74,12.81,0,0,Site_C,No,0,97,368,1736,0,1736
EQ0053,Excavator,320D2,2020,CUST092,2025-03-15,2025-03-27,2025-03-27,Closed,83,15,1069.52,12.89,0,0,Site_E,No,0,86,313,6024,0,6024
EQ0054,DumpTruck,775G,2023,CUST403,2025-03-16,2025-03-26,2025-03-26,Closed,63,24,746.86,11.85,267,164,Site_C,No,2,88,349,5800,0,5800
EQ0055,Loader,950GC,2020,CUST023,2025-04-22,2025-04-28,2025-04-28,Closed,35,17,467.65,13.36,160,65,Site_F,No,0,85,366,3516,0,3516
EQ0056,Loader,980M,2023,CUST482,2025-03-30,2025-04-04,2025-04-04,Closed,35,14,460.35,13.15,103,97,Site_F,Yes,0,96,355,1835,0,1835
EQ0057,Crane,350C,2020,CUST340,2025-01-12,2025-01-23,2025-01-24,Overdue,80,21,1028.28,12.85,0,0,Site_A,No,0,94,352,4763,100,4863
EQ0058,DumpTruck,777G,2020,CUST284,2025-04-21,2025-04-28,2025-04-28,Closed,60,24,715.53,11.93,290,153,Site_B,Yes,0,98,348,3661,0,3661
EQ0059,Bulldozer,D8T,2022,CUST155,2025-02-22,2025-03-06,2025-03-04,Closed,87,32,1123.31,12.91,0,0,Site_D,Yes,2,94,336,4836,0,4836
EQ0060,DumpTruck,777G,2022,CUST336,2025-01-09,2025-01-21,2025-01-22,Overdue,84,24,1037.58,12.35,224,150,Site_C,No,1,99,356,6264,100,6364
EQ0061,Bulldozer,D8T,2021,CUST407,2025-03-07,2025-03-14,2025-03-14,Closed,53,6,700.99,13.23,0,0,Site_F,Yes,1,87,336,3367,0,3367
EQ0062,Loader,966GC,2018,CUST420,2025-01-17,2025-01-26,2025-01-24,Closed,56,24,653.35,11.67,242,118,Site_B,No,0,92,325,3483,0,3483
EQ0063,Excavator,320D2,2019,CUST244,2025-03-31,2025-04-05,2025-04-05,Closed,31,9,385.56,12.44,0,0,Site_E,Yes,0,99,353,2880,0,2880
EQ0064,Loader,950GC,2023,CUST357,2025-04-02,2025-04-12,2025-04-12,Closed,82,23,1038.67,12.67,400,143,Site_D,No,0,97,331,3870,0,3870
EQ0065,Excavator,320D2,2021,CUST113,2025-02-25,2025-02-28,2025-02-28,Closed,21,10,283.2,13.49,0,0,Site_B,No,0,86,331,1752,0,1752
EQ0066,Excavator,336D2,2019,CUST411,2025-04-09,2025-04-14,2025-04-12,Closed,57,12,734.82,12.89,0,0,Site_D,No,0,99,364,2295,0,2295
EQ0067,Loader,966GC,2019,CUST381,2025-04-27,2025-05-05,2025-05-05,Closed,54,20,687.97,12.74,152,74,Site_D,No,0,93,331,4520,0,4520
EQ0068,Crane,350C,2021,CUST321,2025-02-27,2025-03-13,2025-03-13,Closed,78,29,1023.95,13.13,0,0,Site_B,No,0,99,309,7448,0,7448
EQ0069,Crane,320C,2020,CUST172,2025-01-29,2025-02-03,2025-02-04,Overdue,21,19,280.67,13.37,0,0,Site_C,Yes,1,89,319,2045,100,2145
EQ0070,DumpTruck,777G,2019,CUST362,2025-04-19,2025-04-26,2025-04-26,Closed,60,11,808.47,13.47,147,131,Site_B,Yes,0,98,352,3038,0,3038
EQ0071,Loader,966GC,2021,CUST032,2025-03-27,2025-04-09,2025-04-10,Overdue,89,32,1097.34,12.33,250,99,Site_B,No,1,97,302,7397,100,7497
EQ0072,Loader,966GC,2021,CUST004,2025-03-22,2025-03-29,2025-03-27,Closed,49,14,638.86,13.04,236,132,Site_C,No,0,97,353,3409,0,3409
EQ0073,Loader,980M,2019,CUST250,2025-03-19,2025-03-30,2025-03-30,Closed,78,24,932.67,11.96,313,174,Site_B,No,0,98,362,3927,0,3927
EQ0074,DumpTruck,775G,2023,CUST348,2025-03-13,2025-03-22,2025-03-22,Closed,78,18,978.15,12.54,355,164,Site_D,Yes,0,99,316,4581,0,4581
EQ0075,Loader,950GC,2021,CUST304,2025-04-04,2025-04-17,2025-04-17,Closed,97,32,1252.09,12.91,255,123,Site_E,Yes,0,87,354,4992,0,4992
EQ0076,DumpTruck,773G,2018,CUST134,2025-02-07,2025-02-11,2025-02-11,Closed,16,0,212.93,13.31,48,32,Site_D,No,0,91,358,1732,0,1732
EQ0077,Crane,330C,2020,CUST386,2025-01-30,2025-02-08,2025-02-08,Closed,72,21,894.15,12.42,0,0,Site_D,No,1,87,360,3186,0,3186
EQ0078,Loader,950GC,2020,CUST115,2025-01-17,2025-01-31,2025-01-31,Closed,99,25,1207.29,12.19,260,213,Site_F,Yes,0,86,303,8302,0,8302
EQ0079,Bulldozer,D6R2,2018,CUST319,2025-04-21,2025-05-02,2025-05-02,Closed,59,29,760.82,12.9,0,0,Site_B,Yes,0,89,360,5731,0,5731
EQ0080,Excavator,323D3,2019,CUST239,2025-01-04,2025-01-14,2025-01-14,Closed,70,25,941.24,13.45,0,0,Site_F,No,0,96,321,5050,0,5050
EQ0081,Loader,980M,2023,CUST059,2025-02-20,2025-02-25,2025-02-26,Overdue,22,3,254.4,11.56,80,45,Site_B,No,0,88,303,2935,100,3035
EQ0082,Crane,350C,2023,CUST465,2025-02-15,2025-02-19,2025-02-19,Closed,15,2,175.27,11.68,0,0,Site_D,No,0,91,309,2004,0,2004
EQ0083,Bulldozer,D6R2,2023,CUST396,2025-03-27,2025-04-06,2025-04-08,Overdue,78,16,1013.73,13.0,0,0,Site_C,Yes,0,86,344,4860,200,5060
EQ0084,DumpTruck,777G,2020,CUST036,2025-03-20,2025-03-30,2025-03-30,Closed,54,26,670.95,12.43,229,57,Site_E,No,0,85,353,5600,0,5600
EQ0085,DumpTruck,773G,2021,CUST492,2025-01-07,2025-01-12,2025-01-14,Overdue,65,15,761.43,11.71,217,134,Site_C,No,0,89,355,1975,200,2175
EQ0086,Loader,980M,2020,CUST316,2025-03-30,2025-04-08,2025-04-08,Closed,56,12,657.41,11.74,261,122,Site_E,No,0,99,355,5049,0,5049
EQ0087,Loader,966GC,2020,CUST437,2025-03-08,2025-03-19,2025-03-19,Closed,77,17,975.87,12.67,326,143,Site_B,Yes,0,93,357,4532,0,4532
EQ0088,DumpTruck,777G,2022,CUST343,2025-02-10,2025-02-17,2025-02-17,Closed,58,23,708.31,12.21,287,128,Site_D,No,0,85,363,3969,0,3969
EQ0089,Crane,320C,2021,CUST109,2025-01-22,2025-01-29,2025-01-29,Closed,42,11,498.67,11.87,0,0,Site_C,No,0,95,335,4025,0,4025
EQ0090,Loader,980M,2020,CUST285,2025-04-05,2025-04-15,2025-04-17,Overdue,70,15,862.46,12.32,346,85,Site_A,Yes,0,87,330,5340,200,5540
EQ0091,DumpTruck,775G,2022,CUST389,2025-04-02,2025-04-15,2025-04-17,Overdue,85,29,1006.55,11.84,340,242,Site_B,No,0,100,357,7176,200,7376
EQ0092,Excavator,320D2,2020,CUST114,2025-01-08,2025-01-20,2025-01-20,Closed,77,26,935.35,12.15,0,0,Site_D,Yes,0,94,347,5652,0,5652
EQ0093,Loader,980M,2020,CUST218,2025-04-07,2025-04-13,2025-04-13,Closed,44,7,531.4,12.08,164,57,Site_F,No,0,96,358,2514,0,2514
EQ0094,Crane,330C,2019,CUST062,2025-04-17,2025-04-22,2025-04-22,Closed,26,8,302.3,11.63,0,0,Site_F,Yes,2,95,315,2700,0,2700
EQ0095,Loader,980M,2019,CUST099,2025-01-13,2025-01-23,2025-01-24,Overdue,78,14,1015.6,13.02,295,151,Site_B,No,0,93,367,5020,100,5120
EQ0096,Crane,320C,2019,CUST152,2025-04-04,2025-04-07,2025-04-09,Overdue,15,13,200.49,13.37,0,0,Site_B,No,2,90,338,1059,200,1259
EQ0097,Loader,950GC,2020,CUST024,2025-02-03,2025-02-17,2025-02-17,Closed,99,29,1148.02,11.6,430,262,Site_A,No,0,89,362,5264,0,5264
EQ0098,Excavator,323D3,2020,CUST241,2025-03-01,2025-03-06,2025-03-06,Closed,40,15,501.85,12.55,0,0,Site_D,No,0,95,323,2985,0,2985
EQ0099,Excavator,336D2,2021,CUST059,2025-04-19,2025-05-01,2025-05-01,Closed,81,30,992.56,12.25,0,0,Site_A,No,0,100,309,5964,0,5964
EQ0100,Excavator,320D2,2019,CUST416,2025-02-07,2025-02-10,2025-02-10,Closed,10,6,132.99,13.3,0,0,Site_E,No,0,87,331,1140,0,1140
EQ0101,Loader,966GC,2022,CUST306,2025-03-19,2025-03-26,2025-03-25,Closed,40,15,535.19,13.38,155,66,Site_E,Yes,0,97,357,4074,0,4074
EQ0102,DumpTruck,775G,2022,CUST220,2025-01-15,2025-01-18,2025-01-18,Closed,22,7,259.67,11.8,64,32,Site_C,Yes,0,88,326,1530,0,1530
EQ0103,Bulldozer,D7R2,2023,CUST042,2025-03-09,2025-03-17,2025-03-17,Closed,72,15,842.82,11.71,0,0,Site_B,Yes,0,90,370,2952,0,2952
EQ0104,Bulldozer,D6R2,2021,CUST231,2025-02-16,2025-02-22,2025-02-22,Closed,42,24,528.35,12.58,0,0,Site_F,No,0,94,304,2454,0,2454
EQ0105,Crane,350C,2020,CUST360,2025-03-09,2025-03-23,2025-03-24,Overdue,98,27,1237.84,12.63,0,0,Site_D,Yes,0,92,333,7714,100,7814
EQ0106,Loader,980M,2019,CUST218,2025-01-27,2025-02-03,2025-02-04,Overdue,47,15,561.87,11.95,153,74,Site_A,Yes,0,89,334,3927,100,4027
EQ0107,Bulldozer,D6R2,2018,CUST085,2025-03-31,2025-04-10,2025-04-10,Closed,67,20,887.36,13.24,0,0,Site_C,No,1,99,315,4690,0,4690
EQ0108,Crane,350C,2021,CUST483,2025-04-10,2025-04-16,2025-04-17,Overdue,35,18,407.32,11.64,0,0,Site_C,No,0,99,310,3018,100,3118
EQ0109,Excavator,336D2,2023,CUST166,2025-03-19,2025-03-29,2025-03-30,Overdue,63,17,747.98,11.87,0,0,Site_E,No,1,85,311,4080,100,4180
EQ0110,Loader,980M,2018,CUST392,2025-01-01,2025-01-09,2025-01-09,Closed,39,23,452.77,11.61,117,101,Site_F,No,0,86,322,3760,0,3760
EQ0111,Loader,980M,2021,CUST470,2025-02-10,2025-02-15,2025-02-15,Closed,43,10,524.29,12.19,130,106,Site_C,Yes,0,98,362,2990,0,2990
EQ0112,Excavator,336D2,2020,CUST210,2025-02-12,2025-02-25,2025-02-25,Closed,88,24,1099.71,12.5,0,0,Site_C,No,0,88,320,5642,0,5642
EQ0113,DumpTruck,777G,2021,CUST148,2025-03-29,2025-04-01,2025-04-01,Closed,39,11,449.52,11.53,155,52,Site_F,No,2,86,358,1116,0,1116
EQ0114,Crane,330C,2020,CUST060,2025-02-18,2025-02-24,2025-02-24,Closed,67,12,779.49,11.63,0,0,Site_D,Yes,0,99,352,2178,0,2178
EQ0115,Bulldozer,D8T,2020,CUST319,2025-02-25,2025-03-02,2025-03-02,Closed,57,7,698.56,12.26,0,0,Site_D,No,1,86,326,2090,0,2090
EQ0116,Loader,950GC,2020,CUST225,2025-01-19,2025-01-23,2025-01-23,Closed,30,17,377.07,12.57,103,59,Site_F,No,0,88,303,2396,0,2396
EQ0117,Loader,950GC,2023,CUST082,2025-01-04,2025-01-07,2025-01-07,Closed,22,5,264.98,12.04,103,45,Site_C,Yes,1,98,311,1221,0,1221
EQ0118,Excavator,336D2,2018,CUST332,2025-02-24,2025-03-10,2025-03-11,Overdue,95,33,1197.33,12.6,0,0,Site_B,No,0,94,365,7420,100,7520
EQ0119,Crane,330C,2021,CUST242,2025-03-28,2025-04-10,2025-04-10,Closed,73,31,922.64,12.64,0,0,Site_B,No,1,89,349,5174,0,5174
EQ0120,Loader,980M,2023,CUST451,2025-04-02,2025-04-12,2025-04-12,Closed,78,15,1030.49,13.21,350,139,Site_B,Yes,0,93,353,4370,0,4370
EQ0121,Loader,966GC,2018,CUST145,2025-03-26,2025-04-04,2025-04-06,Overdue,66,11,814.63,12.34,308,173,Site_F,No,0,100,319,4176,200,4376
EQ0122,Loader,966GC,2020,CUST171,2025-04-16,2025-04-20,2025-04-20,Closed,39,4,476.8,12.23,178,56,Site_E,No,2,99,341,2288,0,2288
EQ0123,Bulldozer,D8T,2019,CUST293,2025-04-18,2025-04-28,2025-04-28,Closed,72,20,895.83,12.44,0,0,Site_D,Yes,0,98,305,4310,0,4310
EQ0124,DumpTruck,777G,2021,CUST198,2025-04-24,2025-04-29,2025-04-29,Closed,43,15,529.12,12.31,114,98,Site_F,Yes,0,100,304,1910,0,1910
EQ0125,Loader,980M,2020,CUST446,2025-01-26,2025-02-07,2025-02-06,Closed,95,29,1248.79,13.15,340,249,Site_A,No,0,88,367,6996,0,6996
EQ0126,DumpTruck,773G,2023,CUST074,2025-02-03,2025-02-06,2025-02-06,Closed,39,5,456.81,11.71,94,59,Site_D,Yes,0,87,360,1650,0,1650
EQ0127,Crane,330C,2022,CUST355,2025-04-01,2025-04-11,2025-04-11,Closed,69,31,872.61,12.65,0,0,Site_D,Yes,1,95,368,4470,0,4470
EQ0128,Crane,350C,2023,CUST455,2025-03-26,2025-04-09,2025-04-10,Overdue,79,23,1059.96,13.42,0,0,Site_D,Yes,0,87,330,7154,100,7254
EQ0129,Crane,320C,2023,CUST047,2025-02-22,2025-02-28,2025-03-01,Overdue,50,11,647.15,12.94,0,0,Site_D,Yes,0,88,356,2352,100,2452
EQ0130,Crane,320C,2018,CUST167,2025-02-23,2025-02-27,2025-02-27,Closed,10,7,125.8,12.58,0,0,Site_A,No,0,96,347,1840,0,1840
EQ0131,Bulldozer,D6R2,2022,CUST211,2025-04-26,2025-05-09,2025-05-10,Overdue,86,37,1048.23,12.19,0,0,Site_E,Yes,0,90,322,4810,100,4910
EQ0132,Loader,966GC,2022,CUST350,2025-01-01,2025-01-12,2025-01-12,Closed,67,33,780.68,11.65,149,67,Site_B,No,2,89,329,5148,0,5148
EQ0133,Crane,330C,2020,CUST342,2025-04-12,2025-04-16,2025-04-16,Closed,37,5,496.7,13.42,0,0,Site_A,No,0,94,369,1560,0,1560
EQ0134,Excavator,336D2,2020,CUST301,2025-02-26,2025-03-07,2025-03-07,Closed,69,24,898.25,13.02,0,0,Site_C,No,0,93,358,5094,0,5094
EQ0135,Crane,320C,2021,CUST437,2025-03-21,2025-03-29,2025-03-27,Closed,58,19,747.41,12.89,0,0,Site_D,Yes,0,92,348,3968,0,3968
EQ0136,Crane,350C,2020,CUST359,2025-01-26,2025-02-07,2025-02-07,Closed,64,22,751.43,11.74,0,0,Site_C,Yes,0,97,335,4224,0,4224
EQ0137,Loader,980M,2023,CUST499,2025-04-25,2025-05-05,2025-05-03,Closed,69,23,912.46,13.22,312,113,Site_A,No,1,94,329,5050,0,5050
EQ0138,Crane,320C,2023,CUST098,2025-01-17,2025-01-27,2025-01-27,Closed,59,26,764.02,12.95,0,0,Site_E,No,0,89,312,5810,0,5810
EQ0139,Excavator,336D2,2021,CUST018,2025-01-15,2025-01-25,2025-01-25,Closed,63,25,803.36,12.75,0,0,Site_E,No,1,89,311,5820,0,5820
EQ0140,Crane,330C,2023,CUST213,2025-02-11,2025-02-25,2025-02-25,Closed,105,28,1375.24,13.1,0,0,Site_B,Yes,2,89,369,8036,0,8036
EQ0141,Crane,350C,2022,CUST468,2025-04-26,2025-04-29,2025-04-29,Closed,43,4,569.64,13.25,0,0,Site_C,Yes,2,93,361,1791,0,1791
EQ0142,Crane,350C,2020,CUST412,2025-01-10,2025-01-21,2025-01-21,Closed,94,22,1081.63,11.51,0,0,Site_A,No,0,87,318,5973,0,5973
EQ0143,Bulldozer,D8T,2023,CUST346,2025-04-30,2025-05-04,2025-05-04,Closed,10,1,128.59,12.86,0,0,Site_D,No,0,87,350,1412,0,1412
EQ0144,Crane,350C,2018,CUST233,2025-02-06,2025-02-13,2025-02-13,Closed,58,12,776.59,13.39,0,0,Site_C,No,0,97,347,2639,0,2639
EQ0145,Bulldozer,D7R2,2018,CUST318,2025-03-18,2025-03-22,2025-03-22,Closed,29,10,368.75,12.72,0,0,Site_E,No,0,92,308,2048,0,2048
EQ0146,DumpTruck,777G,2020,CUST333,2025-03-15,2025-03-28,2025-03-28,Closed,84,23,1096.97,13.06,256,93,Site_D,Yes,2,89,305,7696,0,7696
EQ0147,Excavator,336D2,2021,CUST060,2025-02-18,2025-03-01,2025-02-28,Closed,91,19,1173.18,12.89,0,0,Site_A,Yes,0,89,349,5126,0,5126
EQ0148,Crane,350C,2023,CUST357,2025-02-01,2025-02-06,2025-02-06,Closed,37,2,469.38,12.69,0,0,Site_E,No,0,89,353,2585,0,2585
EQ0149,Excavator,336D2,2022,CUST209,2025-04-08,2025-04-21,2025-04-23,Overdue,84,24,1115.31,13.28,0,0,Site_C,Yes,2,96,327,6019,200,6219
EQ0150,DumpTruck,773G,2020,CUST051,2025-03-17,2025-03-29,2025-03-30,Overdue,90,34,1050.66,11.67,290,157,Site_F,No,0,96,307,5412,100,5512
EQ0151,Crane,320C,2018,CUST486,2025-01-05,2025-01-17,2025-01-17,Closed,93,24,1175.77,12.64,0,0,Site_D,Yes,0,91,302,4344,0,4344
EQ0152,Crane,320C,2019,CUST403,2025-02-09,2025-02-22,2025-02-24,Overdue,92,34,1217.74,13.24,0,0,Site_E,Yes,0,87,370,5239,200,5439
EQ0153,Loader,950GC,2019,CUST169,2025-02-28,2025-03-13,2025-03-13,Closed,79,22,1055.45,13.36,183,189,Site_B,Yes,0,93,318,4979,0,4979
EQ0154,Loader,966GC,2019,CUST057,2025-01-05,2025-01-18,2025-01-16,Closed,101,25,1162.54,11.51,450,147,Site_F,Yes,1,89,301,5733,0,5733
EQ0155,Bulldozer,D8T,2020,CUST009,2025-03-23,2025-03-29,2025-03-29,Closed,33,16,392.25,11.89,0,0,Site_B,No,0,86,316,3234,0,3234
EQ0156,DumpTruck,777G,2018,CUST382,2025-01-27,2025-01-30,2025-01-30,Closed,18,1,207.33,11.52,80,22,Site_A,No,0,99,346,1443,0,1443
EQ0157,Loader,950GC,2021,CUST258,2025-03-12,2025-03-24,2025-03-24,Closed,80,29,948.72,11.86,340,206,Site_B,Yes,0,94,358,6168,0,6168
